ID,Name,Parameter,Language,Frequency,Confidence,References
30A-eng,Three,Number of Genders,English,,,
31A-eng,Sex-based,Sex-based and Non-sex-based Gender Systems,English,,,
32A-eng,Semantic,Systems of Gender Assignment,English,,,
33A-eng,Plural suffix,Coding of Nominal Plurality,English,,,
34A-eng,"All nouns, always obligatory",Occurrence of Nominal Plurality,English,,,
35A-eng,Person-number stem,Plurality in Independent Personal Pronouns,English,,,
36A-eng,No associative plural,The Associative Plural,English,,,
37A-eng,Definite word distinct from demonstrative,Definite Articles,English,,,
38A-eng,Indefinite word distinct from 'one',Indefinite Articles,English,,,
39A-eng,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,English,,,
40A-eng,'We' the same as 'I',Inclusive/Exclusive Distinction in Verbal Inflection,English,,,
41A-eng,Two-way contrast,Distance Contrasts in Demonstratives,English,,,
42A-eng,Identical,Pronominal and Adnominal Demonstratives,English,,,
43A-eng,Related for all demonstratives,Third Person Pronouns and Demonstratives,English,,,Quirk et al. 1985
44A-eng,3rd person singular only,Gender Distinctions in Independent Personal Pronouns,English,,,Quirk et al. 1972
45A-eng,No politeness distinction,Politeness Distinctions in Pronouns,English,,,
46A-eng,Generic-noun-based,Indefinite Pronouns,English,,,
47A-eng,Identical,Intensifiers and Reflexive Pronouns,English,,,
48A-eng,No person marking,Person Marking on Adpositions,English,,,Quirk et al. 1972
49A-eng,2 cases,Number of Cases,English,,,Quirk et al. 1985
50A-eng,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,English,,,Quirk et al. 1985
51A-eng,No case affixes or adpositional clitics,Position of Case Affixes,English,,,
52A-eng,Identity,Comitatives and Instrumentals,English,,,
53A-eng,"First, second, three-th",Ordinal Numerals,English,,,
54A-eng,No distributive numerals,Distributive Numerals,English,,,
55A-eng,Absent,Numeral Classifiers,English,,,
56A-eng,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers,English,,,
57A-eng,No possessive affixes,Position of Pronominal Possessive Affixes,English,,,
