Id	Name	Authors	Area	Languages	Details
71A	The Prohibitive	Johan van der Auwera and Ludo Lejeune with Valentin Goussev	Verbal Categories	495	
72A	Imperative-Hortative Systems	Johan van der Auwera and Nina Dobrushina and Valentin Goussev	Verbal Categories	375	
73A	The Optative	Nina Dobrushina and Johan van der Auwera and Valentin Goussev	Verbal Categories	319	
74A	Situational Possibility	Johan van der Auwera and Andreas Ammann	Verbal Categories	234	
75A	Epistemic Possibility	Johan van der Auwera and Andreas Ammann	Verbal Categories	240	
76A	Overlap between Situational and Epistemic Modal Marking	Johan van der Auwera and Andreas Ammann	Verbal Categories	207	
77A	Semantic Distinctions of Evidentiality	Ferdinand de Haan	Verbal Categories	418	
78A	Coding of Evidentiality	Ferdinand de Haan	Verbal Categories	418	
79A	Suppletion According to Tense and Aspect	Ljuba N. Veselinova	Verbal Categories	193	
79B	Suppletion in Imperatives and Hortatives	Ljuba N. Veselinova	Verbal Categories	193	
80A	Verbal Number and Suppletion	Ljuba N. Veselinova	Verbal Categories	193	
81A	Order of Subject, Object and Verb	Matthew S. Dryer	Word Order	1377	
81B	Languages with two Dominant Orders of Subject, Object, and Verb	Matthew S. Dryer	Word Order	67	
82A	Order of Subject and Verb	Matthew S. Dryer	Word Order	1497	
83A	Order of Object and Verb	Matthew S. Dryer	Word Order	1519	
84A	Order of Object, Oblique, and Verb	Matthew S. Dryer with Orin D. Gensler	Word Order	500	
85A	Order of Adposition and Noun Phrase	Matthew S. Dryer	Word Order	1183	
86A	Order of Genitive and Noun	Matthew S. Dryer	Word Order	1249	
87A	Order of Adjective and Noun	Matthew S. Dryer	Word Order	1366	
88A	Order of Demonstrative and Noun	Matthew S. Dryer	Word Order	1224	
89A	Order of Numeral and Noun	Matthew S. Dryer	Word Order	1153	
90A	Order of Relative Clause and Noun	Matthew S. Dryer	Word Order	824	
90B	Prenominal relative clauses	Matthew S. Dryer	Word Order	191	
90C	Postnominal relative clauses	Matthew S. Dryer	Word Order	620	
90D	Internally-headed relative clauses	Matthew S. Dryer	Word Order	63	
90E	Correlative relative clauses	Matthew S. Dryer	Word Order	23	
90F	Adjoined relative clauses	Matthew S. Dryer	Word Order	10	
90G	Double-headed relative clauses	Matthew S. Dryer	Word Order	5	
91A	Order of Degree Word and Adjective	Matthew S. Dryer	Word Order	481	
92A	Position of Polar Question Particles	Matthew S. Dryer	Word Order	884	
93A	Position of Interrogative Phrases in Content Questions	Matthew S. Dryer	Word Order	902	
94A	Order of Adverbial Subordinator and Clause	Matthew S. Dryer	Word Order	659	
95A	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase	Matthew S. Dryer	Word Order	1142	
96A	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun	Matthew S. Dryer	Word Order	879	
97A	Relationship between the Order of Object and Verb and the Order of Adjective and Noun	Matthew S. Dryer	Word Order	1316	
98A	Alignment of Case Marking of Full Noun Phrases	Bernard Comrie	Simple Clauses	190	
99A	Alignment of Case Marking of Pronouns	Bernard Comrie	Simple Clauses	172	
100A	Alignment of Verbal Person Marking	Anna Siewierska	Simple Clauses	380	
101A	Expression of Pronominal Subjects	Matthew S. Dryer	Simple Clauses	711	
102A	Verbal Person Marking	Anna Siewierska	Simple Clauses	378	
103A	Third Person Zero of Verbal Person Marking	Anna Siewierska	Simple Clauses	380	
104A	Order of Person Markers on the Verb	Anna Siewierska	Simple Clauses	379	
105A	Ditransitive Constructions: The Verb 'Give'	Martin Haspelmath	Simple Clauses	378	
106A	Reciprocal Constructions	Elena Maslova and Vladimir P. Nedjalkov	Simple Clauses	175	
107A	Passive Constructions	Anna Siewierska	Simple Clauses	373	
108A	Antipassive Constructions	Maria Polinsky	Simple Clauses	194	
108B	Productivity of the Antipassive Construction	Maria Polinsky	Simple Clauses	186	
109A	Applicative Constructions	Maria Polinsky	Simple Clauses	183	
109B	Other Roles of Applied Objects	Maria Polinsky	Simple Clauses	183	
110A	Periphrastic Causative Constructions	Jae Jung Song	Simple Clauses	118	
111A	Nonperiphrastic Causative Constructions	Jae Jung Song	Simple Clauses	310	
112A	Negative Morphemes	Matthew S. Dryer	Simple Clauses	1157	
113A	Symmetric and Asymmetric Standard Negation	Matti Miestamo	Simple Clauses	297	
114A	Subtypes of Asymmetric Standard Negation	Matti Miestamo	Simple Clauses	297	
115A	Negative Indefinite Pronouns and Predicate Negation	Martin Haspelmath	Simple Clauses	206	
116A	Polar Questions	Matthew S. Dryer	Simple Clauses	955	
117A	Predicative Possession	Leon Stassen	Simple Clauses	240	
118A	Predicative Adjectives	Leon Stassen	Simple Clauses	386	
119A	Nominal and Locational Predication	Leon Stassen	Simple Clauses	386	
120A	Zero Copula for Predicate Nominals	Leon Stassen	Simple Clauses	386	
121A	Comparative Constructions	Leon Stassen	Simple Clauses	167	
122A	Relativization on Subjects	Bernard Comrie and Tania Kuteva	Complex Sentences	166	
123A	Relativization on Obliques	Bernard Comrie and Tania Kuteva	Complex Sentences	112	
124A	'Want' Complement Subjects	Martin Haspelmath	Complex Sentences	283	
125A	Purpose Clauses	Sonia Cristofaro	Complex Sentences	170	
126A	'When' Clauses	Sonia Cristofaro	Complex Sentences	174	
127A	Reason Clauses	Sonia Cristofaro	Complex Sentences	169	
128A	Utterance Complement Clauses	Sonia Cristofaro	Complex Sentences	143	
129A	Hand and Arm	Cecil H. Brown	Lexicon	617	
130A	Finger and Hand	Cecil H. Brown	Lexicon	593	
130B	Cultural Categories of Languages with Identity of 'Finger' and 'Hand'	Cecil H. Brown	Lexicon	72	
131A	Numeral Bases	Bernard Comrie	Lexicon	196	
132A	Number of Non-Derived Basic Colour Categories	Paul Kay and Luisa Maffi	Lexicon	119	
133A	Number of Basic Colour Categories	Paul Kay and Luisa Maffi	Lexicon	119	
134A	Green and Blue	Paul Kay and Luisa Maffi	Lexicon	120	
135A	Red and Yellow	Paul Kay and Luisa Maffi	Lexicon	120	
136A	M-T Pronouns	Johanna Nichols and David A. Peterson	Lexicon	230	
136B	M in First Person Singular	Johanna Nichols and David A. Peterson	Lexicon	230	
137A	N-M Pronouns	Johanna Nichols and David A. Peterson	Lexicon	230	
137B	M in Second Person Singular	Johanna Nichols and David A. Peterson	Lexicon	230	
138A	Tea	Östen Dahl	Lexicon	230	
139A	Irregular Negatives in Sign Languages	Ulrike Zeshan	Sign Languages	35	
140A	Question Particles in Sign Languages	Ulrike Zeshan	Sign Languages	38	
141A	Writing Systems	Bernard Comrie	Other	6	
142A	Para-Linguistic Usages of Clicks	David Gil	Other	143	
143A	Order of Negative Morpheme and Verb	Matthew S. Dryer	Word Order	1324	
143B	Obligatory Double Negation	Matthew S. Dryer	Word Order	119	
143C	Optional Double Negation	Matthew S. Dryer	Word Order	81	
143D	Optional Triple Negation	Matthew S. Dryer	Word Order	6	
143E	Preverbal Negative Morphemes	Matthew S. Dryer	Word Order	1324	
143F	Postverbal Negative Morphemes	Matthew S. Dryer	Word Order	1324	
143G	Minor morphological means of signaling negation	Matthew S. Dryer	Word Order	1324	
144A	Position of Negative Word With Respect to Subject, Object, and Verb	Matthew S. Dryer	Word Order	1189	
144B	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Matthew S. Dryer	Word Order	609	
144C	Languages with different word order in negative clauses	Matthew S. Dryer	Word Order	28	
144D	The Position of Negative Morphemes in SVO Languages	Matthew S. Dryer	Word Order	463	
144E	Multiple Negative Constructions in SVO Languages	Matthew S. Dryer	Word Order	48	
144F	Obligatory Double Negation in SVO languages	Matthew S. Dryer	Word Order	56	
144G	Optional Double Negation in SVO languages	Matthew S. Dryer	Word Order	35	
144H	NegSVO Order	Matthew S. Dryer	Word Order	420	
144I	SNegVO Order	Matthew S. Dryer	Word Order	421	
144J	SVNegO Order	Matthew S. Dryer	Word Order	446	
144K	SVONeg Order	Matthew S. Dryer	Word Order	446	
144L	The Position of Negative Morphemes in SOV Languages	Matthew S. Dryer	Word Order	572	
144M	Multiple Negative Constructions in SOV Languages	Matthew S. Dryer	Word Order	54	
144N	Obligatory Double Negation in SOV languages	Matthew S. Dryer	Word Order	45	
144O	Optional Double Negation in SOV languages	Matthew S. Dryer	Word Order	31	
144P	NegSOV Order	Matthew S. Dryer	Word Order	408	
144Q	SNegOV Order	Matthew S. Dryer	Word Order	408	
144R	SONegV Order	Matthew S. Dryer	Word Order	411	
144S	SOVNeg Order	Matthew S. Dryer	Word Order	489	
144T	The Position of Negative Morphemes in Verb-Initial Languages	Matthew S. Dryer	Word Order	152	
144U	Double negation in verb-initial languages	Matthew S. Dryer	Word Order	17	
144V	Verb-Initial with Preverbal Negative	Matthew S. Dryer	Word Order	152	
144W	Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object	Matthew S. Dryer	Word Order	151	
144X	Verb-Initial with Clause-Final Negative	Matthew S. Dryer	Word Order	151	
144Y	The Position of Negative Morphemes in Object-Initial Languages	Matthew S. Dryer	Word Order	16	
