ID,Name,Parameter,Language,Frequency,Confidence,References
31A-spa,Sex-based,Sex-based and Non-sex-based Gender Systems,Spanish,,,
32A-spa,Semantic and formal,Systems of Gender Assignment,Spanish,,,
33A-spa,Plural suffix,Coding of Nominal Plurality,Spanish,,,
34A-spa,"All nouns, always obligatory",Occurrence of Nominal Plurality,Spanish,,,
35A-spa,Person-number stem + pronominal plural affix,Plurality in Independent Personal Pronouns,Spanish,,,
36A-spa,No associative plural,The Associative Plural,Spanish,,,
37A-spa,Definite word distinct from demonstrative,Definite Articles,Spanish,,,Green 1988
38A-spa,Indefinite word same as 'one',Indefinite Articles,Spanish,,,Green 1988
39A-spa,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Spanish,,,
40A-spa,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Spanish,,,
41A-spa,Three-way contrast,Distance Contrasts in Demonstratives,Spanish,,,
42A-spa,Identical,Pronominal and Adnominal Demonstratives,Spanish,,,
43A-spa,Unrelated,Third Person Pronouns and Demonstratives,Spanish,,,Green 1988
44A-spa,In 3rd person + 1st and/or 2nd person,Gender Distinctions in Independent Personal Pronouns,Spanish,,,Green 1988
45A-spa,Binary politeness distinction,Politeness Distinctions in Pronouns,Spanish,,,Berschin et.al. 1995
46A-spa,Special,Indefinite Pronouns,Spanish,,,
47A-spa,Differentiated,Intensifiers and Reflexive Pronouns,Spanish,,,Otero 1999
48A-spa,No person marking,Person Marking on Adpositions,Spanish,,,Green 1988
49A-spa,No morphological case-marking,Number of Cases,Spanish,,,Butt and Benjamin 2000
50A-spa,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking,Spanish,,,Butt and Benjamin 2000
51A-spa,No case affixes or adpositional clitics,Position of Case Affixes,Spanish,,,
53A-spa,"First, second, three-th",Ordinal Numerals,Spanish,,,
54A-spa,No distributive numerals,Distributive Numerals,Spanish,,,
57A-spa,No possessive affixes,Position of Pronominal Possessive Affixes,Spanish,,,
58A-spa,Absent,Obligatory Possessive Inflection,Spanish,,,
58B-spa,None reported,Number of Possessive Nouns,Spanish,,,
59A-spa,No possessive classification,Possessive Classification,Spanish,,,
61A-spa,Without marking,Adjectives without Nouns,Spanish,,,
62A-spa,Ergative-Possessive,Action Nominal Constructions,Spanish,,,
63A-spa,'And' different from 'with',Noun Phrase Conjunction,Spanish,,,Ashcom and Goodell 1955
64A-spa,Identity,Nominal and Verbal Conjunction,Spanish,,,
65A-spa,Grammatical marking,Perfective/Imperfective Aspect,Spanish,,,Dahl 1985
66A-spa,"Present, no remoteness distinctions",The Past Tense,Spanish,,,Dahl 1985
67A-spa,Inflectional future exists,The Future Tense,Spanish,,,Dahl 1985
68A-spa,From possessive,The Perfect,Spanish,,,Dahl 1985
69A-spa,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Spanish,,,
70A-spa,Second singular and second plural,The Morphological Imperative,Spanish,,,
71A-spa,Special imperative + normal negative,The Prohibitive,Spanish,,,
72A-spa,Neither type of system,Imperative-Hortative Systems,Spanish,,,
73A-spa,Inflectional optative absent,The Optative,Spanish,,,Butt and Benjamin 1994
74A-spa,Verbal constructions,Situational Possibility,Spanish,,,Butt and Benjamin 1988
75A-spa,Verbal constructions,Epistemic Possibility,Spanish,,,Butt and Benjamin 1988
76A-spa,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Spanish,,,Butt and Benjamin 1988
77A-spa,No grammatical evidentials,Semantic Distinctions of Evidentiality,Spanish,,,Butt and Benjamin 2000
78A-spa,No grammatical evidentials,Coding of Evidentiality,Spanish,,,Butt and Benjamin 2000
